measnum,varname,strain,strainid,sex,mean,nmice,sd,sem,cv,minval,maxval,zscore
62006,periphery_dist,BXD8,1108,f,4241,10,1121,355,0.264,2369,5651,-1.32
62006,periphery_dist,BXD80,1180,f,6641,10,1385,438,0.209,4434,8679,0.33
62006,periphery_dist,BXD81,1181,f,5371,10,1379,436,0.257,3460,7726,-0.55
62006,periphery_dist,BXD84,1184,f,4480,10,1097,347,0.245,2980,6159,-1.16
62006,periphery_dist,BXD85,1185,f,6022,4,1093,547,0.182,4614,7284,-0.10
62006,periphery_dist,BXD86,1186,f,6361,10,1589,502,0.250,4398,8668,0.13
62006,periphery_dist,BXD87,1187,f,6366,10,1897,600,0.298,4224,10304,0.14
62006,periphery_dist,BXD89,1189,f,6308,10,849,269,0.135,4785,7753,0.10
62006,periphery_dist,BXD90,1190,f,6360,6,486,198,0.0763,5674,7033,0.13
62006,periphery_dist,BXD92,1192,f,4770,2,1567,1108,0.329,3662,5878,-0.96
62006,periphery_dist,BXD96,1196,f,6543,10,1262,399,0.193,4379,8385,0.26
62006,periphery_dist,BXD97,1197,f,5360,10,1555,492,0.290,2402,7820,-0.55
62006,periphery_dist,BXD98,1198,f,8692,6,1339,546,0.154,6980,9966,1.74
62006,periphery_dist,C57BL/6J,7,f,7753,10,1872,592,0.241,5669,11800,1.09
62006,periphery_dist,DBA/2J,8,f,8073,10,1532,484,0.190,5800,10854,1.31
62006,periphery_dist,BXD1,1101,m,6184,2,2624,1856,0.424,4329,8040,0.21
62006,periphery_dist,BXD100,1100,m,3666,10,508,161,0.139,3004,4617,-1.94
62006,periphery_dist,BXD101,1091,m,5812,8,614,217,0.106,4872,6728,-0.11
62006,periphery_dist,BXD102,1092,m,8205,10,927,293,0.113,6705,9662,1.93
62006,periphery_dist,BXD11,1111,m,4658,10,934,295,0.201,3027,6122,-1.09
62006,periphery_dist,BXD13,1113,m,6002,10,745,235,0.124,4623,6890,0.05
62006,periphery_dist,BXD14,1114,m,4686,10,823,260,0.176,3749,6099,-1.07
62006,periphery_dist,BXD15,1115,m,7132,10,1224,387,0.172,4843,9168,1.02
62006,periphery_dist,BXD16,1116,m,5868,10,1049,332,0.179,3866,7722,-0.06
62006,periphery_dist,BXD18,1118,m,7122,2,1148,812,0.161,6310,7934,1.01
62006,periphery_dist,BXD19,1119,m,6124,2,1540,1089,0.251,5035,7213,0.16
62006,periphery_dist,BXD2,1102,m,5973,10,1431,452,0.240,3526,8100,0.03
